[2025-03-21T23:33:31.330Z] debug: 	Importing configs...
[2025-03-21T23:33:31.376Z] info: 	Commit hash: 51869ce70d9c0a6e11c5bd7b406bca5c806f1269
[2025-03-21T23:33:31.377Z] info: 	Build date: 1735756224869
[2025-03-21T23:33:31.419Z] info: 	Загрузчик модов: загружаем 2 мод(ов/а)...
[2025-03-21T23:33:31.422Z] debug: 	Загрузчик модов: Мод SPTDynamicMaps отсутствует в файле order.json
[2025-03-21T23:33:31.452Z] info: 	Мод server версии 2.3.6 от Fika загружен
[2025-03-21T23:33:31.453Z] info: 	Мод SPT-DynamicMaps версии 0.5.3 от mpstark загружен
[2025-03-21T23:33:31.535Z] info: 	Сервер: выполняем начальные коллбэки...
[2025-03-21T23:33:31.535Z] debug: 	OS: x64 | Windows 10 Pro | win32
[2025-03-21T23:33:31.536Z] debug: 	CPU: AMD Ryzen 5 5600 6-Core Processor               cores: 12
[2025-03-21T23:33:31.536Z] debug: 	RAM: 31.91GB
[2025-03-21T23:33:31.536Z] debug: 	PATH: RDpcU1BUXFNQVC5TZXJ2ZXIuZXhl
[2025-03-21T23:33:31.537Z] debug: 	PATH: RDpcU1BUXFNQVC5TZXJ2ZXIuZXhl
[2025-03-21T23:33:31.537Z] debug: 	Server: 3.10.5
[2025-03-21T23:33:31.537Z] debug: 	Date: 1735756224869
[2025-03-21T23:33:31.537Z] debug: 	Commit: 51869ce70d9c0a6e11c5bd7b406bca5c806f1269
[2025-03-21T23:33:31.538Z] info: 	Импортируем базу данных...
[2025-03-21T23:33:31.713Z] debug: 	Ошибка проверки файлов для файла: SPT_Data/Server/database/locales/server/ru.json
[2025-03-21T23:33:35.781Z] info: 	Импорт базы данных завершен.
[2025-03-21T23:33:35.835Z] debug: 	2 Profiles took: 4.20ms to load.
[2025-03-21T23:33:39.522Z] debug: 	ID validation took: 1.49ms
[2025-03-21T23:33:39.523Z] debug: 	Added custom boss wave to bigmap of type pmcUSEC, time: -1, chance: 50, zone: 
[2025-03-21T23:33:39.523Z] debug: 	Added custom boss wave to bigmap of type pmcBEAR, time: -1, chance: 50, zone: 
[2025-03-21T23:33:39.523Z] debug: 	Added custom boss wave to woods of type pmcUSEC, time: -1, chance: 50, zone: 
[2025-03-21T23:33:39.523Z] debug: 	Added custom boss wave to woods of type pmcBEAR, time: -1, chance: 50, zone: 
[2025-03-21T23:33:39.523Z] debug: 	Added custom boss wave to sandbox_high of type pmcUSEC, time: -1, chance: 50, zone: 
[2025-03-21T23:33:39.523Z] debug: 	Added custom boss wave to sandbox_high of type pmcBEAR, time: -1, chance: 50, zone: 
[2025-03-21T23:33:39.525Z] succ: 	Запускаем веб-сервер на http://127.0.0.1:6969
[2025-03-21T23:33:39.525Z] succ: 	Запустили веб-сокет на ws://127.0.0.1:6969
[2025-03-21T23:33:39.525Z] succ: 	Сервер запущен, Удачной игры!!
[2025-03-21T23:33:39.724Z] debug: 	Profile backup created: user\profiles\backups\2025-03-22_01-33-35
[2025-03-21T23:33:44.553Z] debug: 	Saved 2 profiles, took: 9.65ms
[2025-03-21T23:33:45.776Z] info: 	[Запрос Клиента] /launcher/server/connect
[2025-03-21T23:33:45.796Z] info: 	[Запрос Клиента] /launcher/ping
[2025-03-21T23:33:45.798Z] info: 	[Запрос Клиента] /launcher/server/version
[2025-03-21T23:33:45.804Z] info: 	[Запрос Клиента] /files/launcher/bg.png
[2025-03-21T23:33:45.814Z] info: 	[Запрос Клиента] /launcher/ping
[2025-03-21T23:33:45.856Z] info: 	[Запрос Клиента] /launcher/profile/login
[2025-03-21T23:33:45.859Z] info: 	[Запрос Клиента] /launcher/profile/get
[2025-03-21T23:33:45.862Z] info: 	[Запрос Клиента] /launcher/profile/info
